City,Country,Region,Latitude,Longitude,Year,Population_Million,SQM_Value,Bortle_Class,Artificial_Sky_Brightness_mcd_m2,Visible_Stars_Count,Milky_Way_Visible,Energy_Waste_GWh,CO2_Emission_LightWaste_tons,Avg_Temp_C,Green_Cover_Pct,Urbanization_Rate_Pct,Night_Sky_Quality_Score,Light_Pollution_Category
London,UK,Europe,51.51,-0.13,2019,9.0,8.2,9,4850,43,No,3680,2025,11.5,33.0,100,2.2,Extreme
London,UK,Europe,51.51,-0.13,2020,8.9,8.5,9,4650,46,No,3520,1936,11.0,33.5,100,2.5,Extreme
London,UK,Europe,51.51,-0.13,2021,9.0,8.1,9,4900,42,No,3710,2041,11.6,32.8,100,2.1,Extreme
London,UK,Europe,51.51,-0.13,2022,9.1,8.0,9,4950,41,No,3750,2063,11.7,32.6,100,2.0,Extreme
London,UK,Europe,51.51,-0.13,2023,9.1,7.9,9,5000,40,No,3780,2080,11.9,32.4,100,1.9,Extreme
Tokyo,Japan,Asia,35.68,139.69,2018,13.9,7.5,9,5500,35,No,6800,3740,15.4,17.5,100,1.8,Extreme
Tokyo,Japan,Asia,35.68,139.69,2019,14.0,7.4,9,5580,34,No,6850,3768,15.6,17.3,100,1.7,Extreme
Tokyo,Japan,Asia,35.68,139.69,2020,13.9,7.6,9,5420,36,No,6600,3630,15.2,17.6,100,1.9,Extreme
Tokyo,Japan,Asia,35.68,139.69,2021,13.9,7.3,9,5650,33,No,6900,3795,15.7,17.2,100,1.6,Extreme
Tokyo,Japan,Asia,35.68,139.69,2022,13.8,7.2,9,5700,32,No,6950,3823,15.8,17.0,100,1.5,Extreme
Tokyo,Japan,Asia,35.68,139.69,2023,13.8,7.1,9,5800,31,No,7000,3850,16.0,16.8,100,1.4,Extreme
Mumbai,India,Asia,19.08,72.88,2018,20.4,8.1,9,4950,40,No,5200,2860,27.2,10.5,100,2.0,Extreme
Mumbai,India,Asia,19.08,72.88,2019,20.7,7.9,9,5100,38,No,5380,2959,27.4,10.3,100,1.9,Extreme
Mumbai,India,Asia,19.08,72.88,2020,20.4,8.2,9,4900,42,No,5150,2833,27.0,10.7,100,2.1,Extreme
Mumbai,India,Asia,19.08,72.88,2021,20.7,7.8,9,5150,37,No,5430,2987,27.5,10.2,100,1.8,Extreme
Mumbai,India,Asia,19.08,72.88,2022,20.9,7.6,9,5300,35,No,5580,3069,27.8,10.0,100,1.6,Extreme
Mumbai,India,Asia,19.08,72.88,2023,21.1,7.5,9,5400,34,No,5650,3108,28.0,9.8,100,1.5,Extreme
Paris,France,Europe,48.86,2.35,2018,2.2,8.4,9,4700,45,No,2940,1617,11.8,24.5,100,2.4,Extreme
Paris,France,Europe,48.86,2.35,2019,2.2,8.3,9,4750,44,No,2960,1628,12.0,24.3,100,2.3,Extreme
Paris,France,Europe,48.86,2.35,2020,2.2,8.5,9,4650,47,No,2880,1584,11.6,24.7,100,2.5,Extreme
Paris,France,Europe,48.86,2.35,2021,2.2,8.2,9,4800,43,No,2980,1639,12.1,24.1,100,2.2,Extreme
Paris,France,Europe,48.86,2.35,2022,2.2,8.1,9,4850,42,No,3000,1650,12.2,23.9,100,2.1,Extreme
Paris,France,Europe,48.86,2.35,2023,2.2,8.0,9,4900,41,No,3020,1661,12.4,23.7,100,2.0,Extreme
Sydney,Australia,Oceania,-33.87,151.21,2018,5.3,8.6,9,4600,47,No,3100,1705,17.7,28.4,100,2.6,Extreme
Sydney,Australia,Oceania,-33.87,151.21,2019,5.3,8.5,9,4650,46,No,3120,1716,17.9,28.2,100,2.5,Extreme
Sydney,Australia,Oceania,-33.87,151.21,2020,5.2,8.7,9,4550,48,No,3020,1661,17.5,28.6,100,2.7,Extreme
Sydney,Australia,Oceania,-33.87,151.21,2021,5.3,8.4,9,4700,45,No,3150,1733,18.0,28.0,100,2.4,Extreme
Sydney,Australia,Oceania,-33.87,151.21,2022,5.3,8.3,9,4750,44,No,3180,1749,18.1,27.8,100,2.3,Extreme
Sydney,Australia,Oceania,-33.87,151.21,2023,5.3,8.2,9,4800,43,No,3200,1760,18.3,27.6,100,2.2,Extreme
Berlin,Germany,Europe,52.52,13.40,2018,3.7,9.2,8,3800,80,No,2450,1348,9.6,35.8,100,3.4,Severe
Berlin,Germany,Europe,52.52,13.40,2019,3.8,9.1,8,3850,78,No,2480,1364,9.8,35.6,100,3.3,Severe
Berlin,Germany,Europe,52.52,13.40,2020,3.7,9.3,8,3750,82,No,2400,1320,9.4,36.0,100,3.5,Severe
Berlin,Germany,Europe,52.52,13.40,2021,3.8,9.0,8,3900,76,No,2510,1381,9.9,35.4,100,3.2,Severe
Berlin,Germany,Europe,52.52,13.40,2022,3.8,8.9,8,3950,74,No,2540,1397,10.0,35.2,100,3.1,Severe
Berlin,Germany,Europe,52.52,13.40,2023,3.8,8.8,8,4000,72,No,2560,1408,10.2,35.0,100,3.0,Severe
Dubai,UAE,Middle East,25.20,55.27,2018,3.3,7.2,9,5900,30,No,4500,2475,28.5,5.2,100,1.4,Extreme
Dubai,UAE,Middle East,25.20,55.27,2019,3.4,7.1,9,5950,29,No,4560,2508,28.7,5.0,100,1.3,Extreme
Dubai,UAE,Middle East,25.20,55.27,2020,3.3,7.3,9,5850,31,No,4420,2431,28.3,5.3,100,1.5,Extreme
Dubai,UAE,Middle East,25.20,55.27,2021,3.4,7.0,9,6000,28,No,4600,2530,28.9,4.9,100,1.2,Extreme
Dubai,UAE,Middle East,25.20,55.27,2022,3.5,6.9,9,6100,27,No,4680,2574,29.1,4.7,100,1.1,Extreme
Dubai,UAE,Middle East,25.20,55.27,2023,3.6,6.8,9,6200,26,No,4750,2613,29.3,4.5,100,1.0,Extreme
Nairobi,Kenya,Africa,-1.29,36.82,2018,4.4,16.5,5,820,2000,Partial,1250,688,19.5,38.2,88,6.8,Moderate
Nairobi,Kenya,Africa,-1.29,36.82,2019,4.6,16.2,5,870,1900,Partial,1320,726,19.7,37.8,89,6.5,Moderate
Nairobi,Kenya,Africa,-1.29,36.82,2020,4.4,16.8,5,790,2100,Partial,1190,655,19.3,38.5,88,7.1,Moderate
Nairobi,Kenya,Africa,-1.29,36.82,2021,4.7,15.9,6,920,1800,Partial,1380,759,19.9,37.5,90,6.2,Moderate
Nairobi,Kenya,Africa,-1.29,36.82,2022,4.9,15.5,6,980,1750,Partial,1440,792,20.1,37.1,91,5.8,High
Nairobi,Kenya,Africa,-1.29,36.82,2023,5.1,15.0,6,1050,1680,Partial,1520,836,20.3,36.7,92,5.4,High
Reykjavik,Iceland,Europe,64.13,-21.82,2018,0.2,18.5,4,450,4500,Yes,180,99,4.5,52.3,95,8.5,Low
Reykjavik,Iceland,Europe,64.13,-21.82,2019,0.2,18.3,4,470,4400,Yes,185,102,4.7,52.1,95,8.3,Low
Reykjavik,Iceland,Europe,64.13,-21.82,2020,0.2,18.6,4,440,4600,Yes,175,96,4.4,52.5,95,8.6,Low
Reykjavik,Iceland,Europe,64.13,-21.82,2021,0.2,18.2,4,480,4350,Yes,188,103,4.8,51.9,95,8.2,Low
Reykjavik,Iceland,Europe,64.13,-21.82,2022,0.2,18.0,4,500,4300,Yes,192,106,5.0,51.7,95,8.0,Low
Reykjavik,Iceland,Europe,64.13,-21.82,2023,0.2,17.8,4,520,4250,Yes,196,108,5.1,51.5,95,7.8,Low
Kathmandu,Nepal,Asia,27.72,85.32,2018,1.4,15.8,5,950,2200,Partial,620,341,18.3,41.5,85,6.5,Moderate
Kathmandu,Nepal,Asia,27.72,85.32,2019,1.5,15.5,5,1000,2100,Partial,660,363,18.5,41.2,86,6.2,Moderate
Kathmandu,Nepal,Asia,27.72,85.32,2020,1.4,16.1,5,900,2300,Partial,590,325,18.1,41.8,85,6.8,Moderate
Kathmandu,Nepal,Asia,27.72,85.32,2021,1.5,15.2,6,1050,2000,Partial,690,380,18.7,40.9,87,5.9,High
Kathmandu,Nepal,Asia,27.72,85.32,2022,1.6,14.9,6,1100,1950,Partial,730,402,18.9,40.5,88,5.6,High
Kathmandu,Nepal,Asia,27.72,85.32,2023,1.7,14.5,6,1180,1850,Partial,780,429,19.2,40.1,89,5.2,High
Santiago,Chile,South America,-33.46,-70.65,2018,6.3,11.2,7,2100,800,Partial,2100,1155,14.8,22.5,97,4.5,High
Santiago,Chile,South America,-33.46,-70.65,2019,6.4,10.9,7,2200,750,Partial,2180,1199,15.0,22.3,97,4.2,High
Santiago,Chile,South America,-33.46,-70.65,2020,6.3,11.5,7,2000,850,Partial,2020,1111,14.6,22.7,97,4.8,High
Santiago,Chile,South America,-33.46,-70.65,2021,6.5,10.5,7,2350,700,Partial,2280,1254,15.3,22.0,98,3.8,High
Santiago,Chile,South America,-33.46,-70.65,2022,6.6,10.2,8,2450,680,Partial,2360,1298,15.5,21.7,98,3.5,Severe
Santiago,Chile,South America,-33.46,-70.65,2023,6.7,9.8,8,2600,650,Partial,2450,1348,15.8,21.4,98,3.2,Severe
Toronto,Canada,North America,43.65,-79.38,2018,2.9,8.8,9,4400,50,No,2850,1568,8.9,29.5,100,2.7,Extreme
Toronto,Canada,North America,43.65,-79.38,2019,3.0,8.7,9,4450,49,No,2880,1584,9.1,29.3,100,2.6,Extreme
Toronto,Canada,North America,43.65,-79.38,2020,2.9,8.9,9,4350,51,No,2800,1540,8.7,29.7,100,2.8,Extreme
Toronto,Canada,North America,43.65,-79.38,2021,3.0,8.6,9,4500,48,No,2910,1601,9.2,29.1,100,2.5,Extreme
Toronto,Canada,North America,43.65,-79.38,2022,3.0,8.5,9,4550,47,No,2940,1617,9.3,28.9,100,2.4,Extreme
Toronto,Canada,North America,43.65,-79.38,2023,3.1,8.4,9,4600,46,No,2970,1634,9.5,28.7,100,2.3,Extreme
Marrakech,Morocco,Africa,31.63,-7.99,2018,1.0,12.5,7,1800,950,Partial,980,539,19.8,18.5,90,5.0,High
Marrakech,Morocco,Africa,31.63,-7.99,2019,1.1,12.2,7,1900,900,Partial,1040,572,20.0,18.2,91,4.7,High
Marrakech,Morocco,Africa,31.63,-7.99,2020,1.0,12.8,7,1750,1000,Partial,940,517,19.5,18.8,90,5.3,High
Marrakech,Morocco,Africa,31.63,-7.99,2021,1.1,11.9,7,2000,850,Partial,1080,594,20.2,17.9,92,4.4,High
Marrakech,Morocco,Africa,31.63,-7.99,2022,1.2,11.5,7,2100,820,Partial,1130,622,20.4,17.5,93,4.0,High
Marrakech,Morocco,Africa,31.63,-7.99,2023,1.2,11.1,7,2200,800,Partial,1180,649,20.6,17.1,93,3.7,High
